apiAuditId,moduleName,exportName,route,requestMethod,discoveredFrom,moduleChecksum,checksumSource,inRepo,inPkg,repoPkgChecksumDiffer,title,category,frequency,testPhase,sideEffectClass,authRequirementHypothesis,paginationKind,consumes,produces,aliasOf,replacement,deprecatedEvidence,cryptoMode,checkToken,unblock,hasCookie,localOnly,asyncFn,params,defaults,plannedCaseCount,executedCaseCount,terminalStatus,reportPath,blocker
ncm.album_new,album_new,album_new,/api/album/new,POST/weapi,"repo-module,pkg-module,types,docs:/album/new",1e0f3a130b08a12f2ee5255772321964b1eae887442a7b1a7f2ea83cc3f08573,pkg,true,true,false,全部新碟,album,medium,P1,read,none,offset,pageToken,"albumId,songId",,,,weapi,false,false,false,false,true,"limit,offset,area","[object Object],[object Object],[object Object]",8,4,partial,endpoints/ncm.album_new.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.album_newest,album_newest,album_newest,/api/discovery/newAlbum,POST/weapi,"repo-module,pkg-module,types,docs:/album/newest",3419a68a5f137a0f9142b3d6d9f8bf599d3bd7cf7d65124b2d7ab3ecd90761ce,pkg,true,true,false,最新专辑,album,high,P1,read,none,none,,"albumId,songId",,,,weapi,false,false,false,false,true,,,8,4,partial,endpoints/ncm.album_newest.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.album_privilege,album_privilege,album_privilege,/api/album/privilege,POST,"repo-module,pkg-module,types,docs:/album/privilege",232c326cf9f91926b87a0d37a3dcd01ab61b6e7e7384ad02dcf199c80710991b,pkg,true,true,false,获取专辑歌曲的音质,album,medium,P1,read,none,none,albumId,"albumId,songId",,,,,false,false,false,false,true,id,,8,4,partial,endpoints/ncm.album_privilege.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.album_songsaleboard,album_songsaleboard,album_songsaleboard,/api/feealbum/songsaleboard/${type}/type (templated),POST/weapi,"repo-module,pkg-module,types,docs:/album_songsaleboard",48e4675ab42a2af1fd670d6e0a776fc6101f9ab8690b2869c32d5a620ddc6422,pkg,true,true,false,数字专辑&数字单曲-榜单,album,medium,P1,read,none,none,,"albumId,songId",,,,weapi,false,false,false,false,true,"albumType,type,year",[object Object],8,4,partial,endpoints/ncm.album_songsaleboard.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.album_sub,album_sub,album_sub,/api/album/${query.t} (templated),POST/weapi,"repo-module,pkg-module,types,docs:/album/sub",96aa0cd0d4abc345774a33439d4133a8a01e98183e9df2a01cd41fc16c9379e1,pkg,true,true,false,收藏/取消收藏专辑,album,medium,P1,reversible_write,none,none,albumId,"albumId,songId",,,,weapi,false,false,false,false,true,"t,id",,4,0,blocked_by_prerequisite,endpoints/ncm.album_sub.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.album_sublist,album_sublist,album_sublist,/api/album/sublist,POST/weapi,"repo-module,pkg-module,types,docs:/album/sublist",f1144eaa094304e7509e509d19fa69c5cf25dfaf04328513a89f284438bad779,pkg,true,true,false,已收藏专辑列表,album,high,P1,reversible_write,none,offset,pageToken,"albumId,songId",,,,weapi,false,false,false,false,true,"limit,offset","[object Object],[object Object]",4,0,blocked_by_prerequisite,endpoints/ncm.album_sublist.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.api,api,api,direct-call,POST,"repo-module,pkg-module,types-missing,docs-missing",ffa8c64f06c4de94e325cebee7622bb1a1f616ff1c7819a9886679e8566eabfe,pkg,true,true,false,,system,medium,P5,read,none,none,,,,,,,false,false,true,false,true,"uri,data,cookie,crypto",,6,4,failed_stable,endpoints/ncm.api.md,模块级异常（非网络）：Cannot read properties of undefined (reading 'indexOf')
ncm.artist_album,artist_album,artist_album,/api/artist/albums/${query.id} (templated),POST/weapi,"repo-module,pkg-module,types,docs:/artist/album",1db0660a631daa9ba64d82b2ab21c75fce7ddf3191e23d3a440ec4e9cc93c6c6,pkg,true,true,false,歌手专辑列表,artist,high,P1,read,none,offset,"artistId,pageToken","artistId,mvId",,,,weapi,false,false,false,false,true,"limit,offset,id","[object Object],[object Object]",8,5,partial,endpoints/ncm.artist_album.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.artist_desc,artist_desc,artist_desc,/api/artist/introduction,POST/weapi,"repo-module,pkg-module,types,docs:/artist/desc",4d71a04cf64daa73dc8025e72e13a1d1ed2762e226ac35f0c7fa31b3ec637432,pkg,true,true,false,歌手介绍,artist,medium,P1,read,none,none,artistId,"artistId,mvId",,,,weapi,false,false,false,false,true,id,,8,4,partial,endpoints/ncm.artist_desc.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.artist_detail,artist_detail,artist_detail,/api/artist/head/info/get,POST,"repo-module,pkg-module,types,docs:/artist/detail",14948fcfea9d7e7cb6b443576c5c0ce5221218a336fccd34081566ce9274fe95,pkg,true,true,false,,artist,medium,P1,read,none,none,artistId,"artistId,mvId",,,,,false,false,false,false,true,id,,6,4,partial,endpoints/ncm.artist_detail.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.artist_detail_dynamic,artist_detail_dynamic,artist_detail_dynamic,/api/artist/detail/dynamic,POST,"repo-module,pkg-module,types,docs:/artist/detail/dynamic",b4b4e9d9e5fb2e90749047ce9e43eb1c9b3f9a852e5f93acb88a75c450758e1f,pkg,true,true,false,歌手动态信息,artist,medium,P1,read,none,none,artistId,"artistId,mvId",,,,,false,false,false,false,true,id,,8,4,partial,endpoints/ncm.artist_detail_dynamic.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.artist_fans,artist_fans,artist_fans,/api/artist/fans/get,POST/weapi,"repo-module,pkg-module,types,docs:/artist/fans",3c84831e872878579c0519e9ce32a755f03630aa0cc180428f69bcb921c9e27f,pkg,true,true,false,歌手粉丝,artist,medium,P1,read,none,offset,"artistId,pageToken","artistId,mvId",,,,weapi,false,false,false,false,true,"id,limit,offset","[object Object],[object Object]",8,4,partial,endpoints/ncm.artist_fans.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.artist_follow_count,artist_follow_count,artist_follow_count,/api/artist/follow/count/get,POST/weapi,"repo-module,pkg-module,types,docs:/artist/follow/count",7a870fd2bb3ecc37984b8ef07eeeaf33d4783e93cf0fe46deecafe26015fc576,pkg,true,true,false,歌手粉丝数量,artist,medium,P1,read,none,none,artistId,"artistId,mvId",,,,weapi,false,false,false,false,true,id,,8,4,partial,endpoints/ncm.artist_follow_count.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.artist_list,artist_list,artist_list,/api/v1/artist/list,POST/weapi,"repo-module,pkg-module,types,docs:/artist/list",b8449481406966e4a4f79316dc9791adba92c1fd57f4b4c08d68633838bd25a5,pkg,true,true,false,歌手分类,artist,medium,P1,read,none,offset,pageToken,"artistId,mvId",,,,weapi,false,false,false,false,true,"initial,offset,limit,type,area","[object Object],[object Object],[object Object]",8,5,partial,endpoints/ncm.artist_list.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.artist_mv,artist_mv,artist_mv,/api/artist/mvs,POST/weapi,"repo-module,pkg-module,types,docs:/artist/mv",041bf1c2376422439aa6fdd35a820d4591ce7b2d52a539e06ed9160479805e65,pkg,true,true,false,歌手相关MV,artist,medium,P1,read,none,offset,"artistId,pageToken","artistId,mvId",,,,weapi,false,false,false,false,true,"id,limit,offset",,8,4,partial,endpoints/ncm.artist_mv.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.artist_new_mv,artist_new_mv,artist_new_mv,/api/sub/artist/new/works/mv/list,POST/weapi,"repo-module,pkg-module,types,docs:/artist/new/mv",1a4cc078a24bdd9605cf68cb3b0b39e794b912649211bc0b2e80aa032dcd8ed3,pkg,true,true,false,,artist,medium,P1,read,none,cursor,pageToken,"artistId,mvId",,,,weapi,false,false,false,false,true,"limit,before",[object Object],8,4,partial,endpoints/ncm.artist_new_mv.md,未登录层 301 系统错误（接口需会话）；AUTH_ANON（游客 cookie）可满足（200）；AUTH_USER 层待补
ncm.artist_new_song,artist_new_song,artist_new_song,/api/sub/artist/new/works/song/list,POST/weapi,"repo-module,pkg-module,types,docs:/artist/new/song",f4b0987dd2e705a890bd287b348f240fe806c05731bc38ad3dd598ce7414e13a,pkg,true,true,false,,artist,medium,P1,read,none,cursor,pageToken,"artistId,mvId",,,,weapi,false,false,false,false,true,"limit,before",[object Object],8,4,partial,endpoints/ncm.artist_new_song.md,未登录层 301 系统错误（接口需会话）；AUTH_ANON（游客 cookie）可满足（200）；AUTH_USER 层待补
ncm.artist_new_song_mv_list_v2,artist_new_song_mv_list_v2,artist_new_song_mv_list_v2,/api/sub/artist/new/works/song-mv/list/v2,POST/eapi,"repo-module,pkg-module,types,docs:/artist/new/song/mv/list/v2",be7050917a283528fa03d86b0b70ec3a7e4408bff7aa3e9764b595f852025088,pkg,true,true,false,获取关注歌手的新歌曲和 MV,artist,medium,P1,read,none,cursor,pageToken,"artistId,mvId",,,,eapi,false,false,false,false,true,"startTimestamp,before,sourceType,limit,firstRequest","[object Object],[object Object]",8,4,partial,endpoints/ncm.artist_new_song_mv_list_v2.md,未登录层 301 系统错误（接口需会话）；AUTH_ANON（游客 cookie）可满足（200）；AUTH_USER 层待补
ncm.artist_new_song_playall,artist_new_song_playall,artist_new_song_playall,/api/sub/artist/new/works/song/playall,POST/eapi,"repo-module,pkg-module,types,docs:/artist/new/song/playall",bf818d91b9300ad158209a7a5bfa3692f634a334f78d93c577b56ecf49b42bca,pkg,true,true,false,获取所有关注歌手最近的 50 首新歌,artist,medium,P1,read,none,none,,"artistId,mvId",,,,eapi,false,false,false,false,true,,,8,4,partial,endpoints/ncm.artist_new_song_playall.md,未登录层 301 系统错误（接口需会话）；AUTH_ANON（游客 cookie）可满足（200）；AUTH_USER 层待补
ncm.artist_songs,artist_songs,artist_songs,/api/v1/artist/songs,POST,"repo-module,pkg-module,types,docs:/artist/songs",d8a99a25e18e7d11b66828920b2bf716ab2fce0a1d30f8ebd418f2d42ad8580e,pkg,true,true,false,,artist,high,P1,read,none,offset,"artistId,pageToken","artistId,mvId",,,,,false,false,false,false,true,"id,order,offset,limit","[object Object],[object Object],[object Object]",8,6,partial,endpoints/ncm.artist_songs.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.artist_sub,artist_sub,artist_sub,/api/artist/${query.t} (templated),POST/weapi,"repo-module,pkg-module,types,docs:/artist/sub",e6e6b0cc78a12b23d8092c387eaf2e25fcacd42537b8ef68f652b7978cdffff3,pkg,true,true,false,收藏与取消收藏歌手,artist,medium,P1,reversible_write,none,none,artistId,"artistId,mvId",,,,weapi,false,false,false,false,true,"t,id",,4,0,blocked_by_prerequisite,endpoints/ncm.artist_sub.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.artist_sublist,artist_sublist,artist_sublist,/api/artist/sublist,POST/weapi,"repo-module,pkg-module,types,docs:/artist/sublist",377be7b3da05e1a560a8718755c608135650193aa6d74241eafee0ce2eaae260,pkg,true,true,false,关注歌手列表,artist,high,P1,reversible_write,none,offset,pageToken,"artistId,mvId",,,,weapi,false,false,false,false,true,"limit,offset","[object Object],[object Object]",4,0,blocked_by_prerequisite,endpoints/ncm.artist_sublist.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.artist_top_song,artist_top_song,artist_top_song,/api/artist/top/song,POST/weapi,"repo-module,pkg-module,types,docs:/artist/top/song",2be6bf821627e67d851b0ed75ef5faf18be7ce7a9883df66e6b4fd9da8dbee5e,pkg,true,true,false,歌手热门 50 首歌曲,artist,high,P1,read,none,none,artistId,"artistId,mvId",,,,weapi,false,false,false,false,true,id,,8,4,partial,endpoints/ncm.artist_top_song.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.artist_video,artist_video,artist_video,/api/mlog/artist/video,POST/weapi,"repo-module,pkg-module,types,docs:/artist/video",546939d306d17f55177920b4aa870c5b0696353f6a6e4358a42ca41c637608fb,pkg,true,true,false,歌手相关视频,artist,medium,P1,read,none,cursor,"artistId,pageToken","artistId,mvId",,,,weapi,false,false,false,false,true,"id,size,cursor,order","[object Object],[object Object],[object Object]",8,4,partial,endpoints/ncm.artist_video.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.artists,artists,artists,/api/v1/artist/${query.id} (templated),POST/weapi,"repo-module,pkg-module,types,docs:/artists",b7adc45277b86324c4a742fc95dc1a4f809d2259c10b8582307c74d0a28802ad,pkg,true,true,false,歌手单曲,artist,high,P1,read,none,none,,"artistId,mvId",,,,weapi,false,false,false,false,true,id,,6,4,partial,endpoints/ncm.artists.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.audio_match,audio_match,audio_match,direct-call,direct-call,"repo-module,pkg-module,types,docs:/audio/match",68315797ca79bc202bd0884565b18227d9915ae631913fd011d8e31bcbf54513,pkg,true,true,false,,audio-match,rare,P2,read,none,none,,,,,,,false,false,false,true,true,"duration,audioFP",,5,4,partial,endpoints/ncm.audio_match.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.avatar_upload,avatar_upload,avatar_upload,/api/user/avatar/upload/v1,POST,"repo-module,pkg-module,types,docs:/avatar/upload",39ce32dcd8de48cc16b97e7de8c3720e0782aa021e9c569b275ce0794c0dfc99,pkg,true,true,false,,profile-media,medium,P4,upload,user,none,,,,,,,false,false,false,false,true,,,7,0,blocked_by_prerequisite,endpoints/ncm.avatar_upload.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.banner,banner,banner,/api/v2/banner/get,POST,"repo-module,pkg-module,types,docs:/banner",8afd160679a17c7b6b9873e3aa855b32890f9a6354122a701858260657bd4025,pkg,true,true,false,首页轮播图,other,high,P0,read,none,none,,"songId,playlistId",,,,,false,false,false,false,true,type,,6,6,partial,endpoints/ncm.banner.md,AUTH_USER 登录层缺失（账号待申请，见 B-002）；三态对比未完成
ncm.batch,batch,batch,/api/batch,POST,"repo-module,pkg-module,types,docs:/batch",c30959948c3af19bfec68474743fa3bcbcd8598c1d5296fcc88c7e784ed70bf9,pkg,true,true,false,批量请求接口,system,medium,P5,read,none,none,,,,,,,false,false,false,false,true,,,6,4,partial,endpoints/ncm.batch.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.broadcast_category_region_get,broadcast_category_region_get,broadcast_category_region_get,/api/voice/broadcast/category/region/get,POST,"repo-module,pkg-module,types,docs:/broadcast/category/region/get",e623da657e26740e63bf4b789f00378a6b8af7b3b7be624003e9cef8f9d1e355,pkg,true,true,false,广播电台 - 分类/地区信息,broadcast,rare,P2,read,none,none,,,,,,,false,false,false,false,true,,,5,4,partial,endpoints/ncm.broadcast_category_region_get.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.broadcast_channel_collect_list,broadcast_channel_collect_list,broadcast_channel_collect_list,/api/content/channel/collect/list,POST,"repo-module,pkg-module,types,docs:/broadcast/channel/collect/list",f93bc83e86f034cfc468b367d5abf1a8152c5d6d569eedf7189e8e358c7e9088,pkg,true,true,false,广播电台 - 我的收藏,broadcast,rare,P2,read,none,offset,pageToken,,,,,,false,false,false,false,true,limit,[object Object],10,4,partial,endpoints/ncm.broadcast_channel_collect_list.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.broadcast_channel_currentinfo,broadcast_channel_currentinfo,broadcast_channel_currentinfo,/api/voice/broadcast/channel/currentinfo,POST,"repo-module,pkg-module,types,docs:/broadcast/channel/currentinfo",d27165b614e9e5246b51a1cdbc6df4a768b812500c2a418c75b9262f0fdce80a,pkg,true,true,false,广播电台 - 电台信息,broadcast,rare,P2,read,none,none,,,,,,,false,false,false,false,true,id,,5,4,partial,endpoints/ncm.broadcast_channel_currentinfo.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.broadcast_channel_list,broadcast_channel_list,broadcast_channel_list,/api/voice/broadcast/channel/list,POST,"repo-module,pkg-module,types,docs:/broadcast/channel/list",c72eed6fc180851a21178567685b9498747569e8d09e74f81c084b26787b943e,pkg,true,true,false,广播电台 - 全部电台,broadcast,rare,P2,read,none,offset,pageToken,,,,,,false,false,false,false,true,"categoryId,regionId,limit,lastId,score","[object Object],[object Object],[object Object],[object Object],[object Object]",10,4,partial,endpoints/ncm.broadcast_channel_list.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.broadcast_sub,broadcast_sub,broadcast_sub,/api/content/interact/collect,POST,"repo-module,pkg-module,types,docs:/broadcast/sub",33e501271b78b54c93f55502ed7a38c0ff0742b9f13a86258fd7234692ef7f36,pkg,true,true,false,广播电台 - 收藏/取消收藏电台,broadcast,rare,P2,reversible_write,none,none,,,,,,,false,false,false,false,true,"t,id",,4,0,blocked_by_prerequisite,endpoints/ncm.broadcast_sub.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.calendar,calendar,calendar,/api/mcalendar/detail,POST/weapi,"repo-module,pkg-module,types,docs:/calendar",342c500c1e7ca46d29b50d38683b68c06ff0ef31562e4faa76b178571d066050,pkg,true,true,false,,system,rare,P2,read,none,none,,,,,,weapi,false,false,false,false,true,"startTime,endTime",,5,4,partial,endpoints/ncm.calendar.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.captcha_safe_sent,captcha_safe_sent,captcha_safe_sent,/api/sms/captcha/safe/sent,POST/eapi,"repo-module,pkg-module,types-missing,docs:/captcha/safe/sent",bfae4d079821e8dd4d19e4793c0421f8f8a8305ac472a31fc55d3d0b6b3b6560,pkg,true,true,false,发送安全验证码,auth,medium,P0,credential,none,none,,,,,,eapi,false,false,false,false,true,ctcode,[object Object],8,0,blocked_by_prerequisite,endpoints/ncm.captcha_safe_sent.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.captcha_sent,captcha_sent,captcha_sent,/api/sms/captcha/sent,POST/weapi,"repo-module,pkg-module,types,docs:/captcha/sent",fca60af2264bff3419131081e9e15ad7544b8f2b15fed182b4e484e71868bb6f,pkg,true,true,false,发送验证码,auth,high,P0,credential,none,none,,,,,,weapi,false,false,false,false,true,"ctcode,phone",[object Object],8,0,blocked_by_prerequisite,endpoints/ncm.captcha_sent.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.captcha_sent_v1,captcha_sent_v1,captcha_sent_v1,/api/middle/captcha/sent/v1,POST/eapi,"repo-module,pkg-module,types-missing,docs:/captcha/sent/v1",0fd3996f540e11fa99b8dae0b5eb95909e09dec557cf5bdcfa76bfb4abe1a99e,pkg,true,true,false,发送验证码,auth,medium,P0,credential,none,none,,,,,,eapi,false,false,false,false,true,"ctcode,phone",[object Object],8,0,blocked_by_prerequisite,endpoints/ncm.captcha_sent_v1.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.captcha_verify,captcha_verify,captcha_verify,/api/sms/captcha/verify,POST/weapi,"repo-module,pkg-module,types,docs:/captcha/verify",4f5f1fe741be69a91d9cb548b769bff964959651fae9034b2b73bb894bac477e,pkg,true,true,false,校验验证码,auth,medium,P0,credential,none,none,,"cookie,uid",,,,weapi,false,false,false,false,true,"ctcode,phone,captcha",[object Object],8,0,blocked_by_prerequisite,endpoints/ncm.captcha_verify.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.cellphone_existence_check,cellphone_existence_check,cellphone_existence_check,/api/cellphone/existence/check,POST/eapi,"repo-module,pkg-module,types,docs:/cellphone/existence/check",f96b7b5158f0d3f19bd6eca248ceae44c75138ab1222f363de56d05717317071,pkg,true,true,false,检测手机号码是否已注册,auth,medium,P0,credential,none,none,,,,,,eapi,false,false,false,false,true,"phone,countrycode",,8,0,blocked_by_prerequisite,endpoints/ncm.cellphone_existence_check.md,AUTH_USER 账号缺失（B-002）；写操作/私有域已预授权但账号未到位
ncm.chart_detail,chart_detail,chart_detail,/api/chart/detail,POST,"repo-module,pkg-module,types,docs:/chart/detail",ff8ea996852aedbb2aed5056e5352d074edef6d18f7d215921dd3d1a3dd6aa60,pkg,true,true,false,获取指定维度音乐排行榜详情,toplist,medium,P2,read,none,none,,,,,,,false,false,false,false,true,"chartCode,targetId,targetType",,6,0,blocked_by_prerequisite,endpoints/ncm.chart_detail.md,缺夹具：chartId 无生产者（池为空）
ncm.chart_song_detail,chart_song_detail,chart_song_detail,/api/chart/song/detail,POST,"repo-module,pkg-module,types,docs:/chart/song/detail",93a7750ec0e72d6a1fef9541569f9393d85385a68667f5618c04f94807ff4dac,pkg,true,true,false,获取指定维度音乐排行榜列表,toplist,medium,P2,read,none,none,,,,,,,false,false,false,false,true,"chartCode,targetId,targetType",,6,0,blocked_by_prerequisite,endpoints/ncm.chart_song_detail.md,缺夹具：chartId 无生产者（池为空）
ncm.check_music,check_music,check_music,/api/song/enhance/player/url,POST/weapi,"repo-module,pkg-module,types,docs:/check/music",cd825fa064bb6e5e38ecff7069cfe3cbea0c293e1b3ee62a176a49051d425663,pkg,true,true,false,歌曲可用性,other,high,P1,read,user,none,,,,,,weapi,false,false,false,false,true,"id,br",,6,5,partial,endpoints/ncm.check_music.md,AUTH_USER 缺失（B-002，写操作已预授权但账号未到位）
ncm.cloud,cloud,cloud,/api/cloud/upload/check,POST,"repo-module,pkg-module,types,docs:/cloud",1da4649d01b03aed97c2fb8ff88fa484fd48e0e1eb10c43023b15f0710586031,pkg,true,true,false,,cloud,medium,P5,read,user,none,,,,,,,false,false,false,false,true,songFile,,6,4,failed_stable,endpoints/ncm.cloud.md,模块级异常（非网络）：Cannot read properties of undefined (reading 'name')
